CASENUM,ASCIIRT,CSCIIRT,ESCIIRT,GSCIIRT,ISCIIRT,KSCIIRT
1490,NA,NA,NA,70.28,73.54,68.93
1491,48.92,59.63,NA,63.08,75.44,NA
1492,38.59,54.01,49.29,56.16,NA,NA
1493,56.72,65.51,77.85,80.35,82.39,76.81
1494,42.33,NA,63.54,NA,55.65,NA
1495,53.53,63.69,62.08,68.35,66.08,77.4
1496,NA,NA,NA,64.48,NA,NA
1497,52.8,60.46,NA,NA,NA,NA
1498,42.48,56.84,61.5,62.83,62.03,58.41
1499,NA,NA,NA,59.54,70.05,65.14
1500,NA,NA,NA,41.15,NA,NA
1501,NA,NA,NA,59.46,67.17,66.2
1502,NA,NA,NA,40.19,NA,NA
1503,NA,NA,NA,63.08,NA,NA
1504,43.12,37.53,45.88,53.09,NA,43.13
1505,NA,NA,NA,65.41,70.81,63.06
1506,59.63,61.36,63.1,NA,NA,NA
1507,NA,NA,NA,65.14,73.03,NA
1508,NA,NA,NA,62.06,NA,NA
1509,59.66,64.43,74.69,NA,NA,NA
1510,49.2,50.65,52.03,NA,NA,NA
1511,61.2,65.47,67.89,66.82,64.6,NA
1512,74.9,NA,75.14,76.47,84,82.3
1513,NA,NA,NA,42.72,53.98,51
1514,NA,NA,NA,60.86,56.78,61.95
1515,NA,NA,NA,40.36,NA,NA
1516,NA,NA,NA,63.68,77.89,75.01
1517,NA,NA,NA,72.99,75.81,77.58
1518,62.15,NA,NA,NA,NA,NA
1519,52.19,55.59,63.1,62.17,62.12,55.92
1520,59.91,56.4,59.15,55.86,63.37,NA
1521,34.86,34.56,41.62,NA,NA,NA
1522,51.68,NA,64.78,66.74,67.2,63.3
1523,NA,NA,NA,69.53,70.07,68.7
1524,NA,NA,NA,61.28,65.67,74.32
1525,NA,NA,NA,50.87,65.57,61.52
1526,45.32,45.2,37.55,31.64,NA,55.62
1527,63.22,NA,67.59,NA,NA,64.43
1528,NA,NA,NA,73.03,76.12,75.7
1529,51.59,46.48,NA,52.59,47.72,65.06
1530,NA,NA,NA,40.22,48.45,NA
1531,NA,NA,NA,47.33,NA,NA
1532,NA,40.66,38.77,33.34,NA,NA
1533,54.22,NA,58.63,55.91,61.68,72.1
1534,63.64,65.3,68.97,73.49,70.04,70.97
1535,54.09,61.96,66.46,70.68,74.92,76.04
1536,NA,NA,NA,41.21,54.19,49.56
1537,40.56,NA,62.81,63.3,NA,NA
1538,NA,NA,NA,65.8,NA,65.08
1539,NA,NA,NA,65.55,67.35,68.8
1540,NA,NA,NA,79.53,81.23,82.64
1541,41.25,46.22,63.93,NA,47.12,53.57
1542,52.48,53.32,63.9,61.18,NA,NA
1543,NA,NA,NA,58.55,55.02,71.83
1544,NA,NA,NA,49.63,NA,NA
1545,NA,NA,NA,63.3,NA,50.55
1546,47.19,NA,NA,NA,NA,NA
1547,67.2,NA,64.08,67.44,71.86,NA
1548,NA,NA,NA,58.13,NA,NA
1549,64.23,68.68,72,69.95,77.63,73.1
1550,47.96,58.73,55.49,52.66,53.2,NA
1551,50.82,60.79,64.98,65.04,NA,NA
1552,44.38,43.87,42.69,41.09,50.19,NA
1553,37.96,33.24,30.07,NA,NA,NA
1554,NA,NA,NA,65.01,NA,70.86
1555,NA,NA,NA,71.41,74.08,NA
1556,NA,NA,NA,50.92,56.54,59.19
1557,NA,NA,NA,67.16,NA,NA
1558,45.32,56.01,61.43,NA,57.23,NA
1559,NA,NA,NA,63.48,58.22,70.78
1560,70.56,78.84,82.14,85.48,85.79,NA
1561,NA,NA,NA,58.57,60.44,65.99
1562,NA,NA,NA,75.67,75.13,75.4
1563,NA,NA,NA,59.56,58.26,67.81
1564,NA,NA,NA,57.06,NA,NA
1565,NA,NA,NA,63.33,NA,NA
1566,50.62,60.67,65.62,NA,NA,NA
1567,NA,NA,NA,72.66,73.53,70.05
1568,NA,NA,NA,58.75,66.48,65.97
1569,NA,NA,NA,52.55,69.72,NA
1570,53.42,49.34,63.35,68.65,72.99,NA
1571,NA,NA,NA,42.42,NA,NA
