    64.270    70.910    73.380    79.330    80.970    82.220    66.103     3.502    66.048     3.530     0.019     0.000     0.981     0.000     0.000     0.000     3.000
         *         *         *    44.120         *    41.670    42.879     0.118    44.900    -0.601     0.000     0.000     0.000     0.242     0.757     0.001     5.000
    56.590    62.410    65.240    71.140    72.140         *    58.606     3.411    57.701     3.988     0.384     0.000     0.591     0.001     0.000     0.024     3.000
    47.430    45.810    57.330    54.030    61.440    65.910    46.478     3.640    47.973     3.181     0.585     0.000     0.010     0.044     0.000     0.361     1.000
         *         *         *    62.850         *         *    52.959     3.164    54.422     2.744     0.637     0.021     0.121     0.083     0.001     0.136     1.000
    49.540    54.090    53.980    54.970    66.500         *    49.732     3.403    50.832     3.015     0.662     0.000     0.044     0.033     0.000     0.260     1.000
    45.910    38.080    34.930    31.150         *         *    38.662    -0.284    38.719    -0.330     0.000     0.000     0.000     0.017     0.983     0.000     5.000
         *         *         *    55.870    53.680    64.940    44.516     3.211    49.180     1.765     0.319     0.000     0.001     0.371     0.000     0.309     4.000
    71.990    75.240    77.850    81.310    79.760    76.200    69.172     2.798    68.375     3.192     0.269     0.000     0.731     0.000     0.000     0.000     3.000
         *         *         *    44.540    38.750    44.310    42.015    -0.042    43.610    -0.521     0.000     0.000     0.000     0.157     0.843     0.000     5.000
    55.550    55.450    63.010    64.360    64.230    68.360    54.593     2.758    54.761     2.706     0.910     0.000     0.025     0.028     0.000     0.037     1.000
         *         *         *    42.620    51.360    46.670    41.060     1.896    40.019     2.210     0.008     0.000     0.000     0.848     0.126     0.018     4.000
    27.750    31.030    43.010    36.300         *         *    32.517     2.445    32.236     2.739     0.005     0.000     0.000     0.611     0.249     0.134     4.000
    44.500         *         *         *         *         *    45.520     2.676    44.748     1.969     0.269     0.019     0.033     0.366     0.123     0.191     4.000
    62.340    55.620    64.850    70.680    74.120    85.510    58.781     3.985    58.708     4.035     0.038     0.002     0.946     0.000     0.000     0.014     3.000
         *         *         *    63.280    67.680    68.060    54.508     2.985    55.741     2.672     0.789     0.002     0.067     0.015     0.000     0.128     1.000
         *         *         *    59.720         *    62.120    49.547     2.931    50.526     2.928     0.602     0.000     0.007     0.220     0.000     0.170     1.000
    51.460    53.810    55.910    61.140    63.610    63.260    51.237     2.912    51.390     2.901     0.839     0.000     0.009     0.078     0.000     0.074     1.000
    57.310         *    62.030    61.080         *         *    55.201     2.723    55.404     2.657     0.762     0.000     0.099     0.098     0.001     0.039     1.000
    37.830         *         *         *         *         *    40.510     2.943    40.591     2.235     0.111     0.032     0.006     0.399     0.161     0.290     4.000
    35.810         *         *         *         *         *    39.094     3.063    39.332     2.316     0.082     0.037     0.004     0.393     0.168     0.317     4.000
    34.660    35.730    41.630    50.260         *         *    35.916     3.912    33.977     5.213     0.044     0.003     0.000     0.421     0.015     0.516     6.000
         *         *         *    64.130    64.840    64.130    52.977     2.885    53.685     2.750     0.806     0.000     0.018     0.062     0.000     0.115     1.000
    51.710    53.550    64.210    63.470    57.600    67.220    52.156     2.649    51.893     2.817     0.808     0.000     0.004     0.160     0.000     0.029     1.000
         *         *         *    52.270    48.270    53.430    43.161     1.942    42.802     2.048     0.021     0.000     0.000     0.884     0.071     0.025     4.000
         *         *         *    63.380    66.600    63.690    53.525     2.881    54.287     2.721     0.819     0.000     0.024     0.046     0.000     0.111     1.000
    63.540    66.070    70.580    67.280    74.980         *    61.863     3.125    60.848     3.748     0.416     0.000     0.578     0.001     0.000     0.006     3.000
    43.590    53.990         *         *    62.400         *    47.987     3.515    49.342     3.097     0.590     0.000     0.028     0.061     0.000     0.321     1.000
         *         *         *    52.260         *         *    44.934     2.758    46.056     1.892     0.237     0.004     0.004     0.482     0.049     0.224     4.000
         *         *         *    74.330    79.780    81.010    63.704     3.633    63.695     3.665     0.055     0.014     0.929     0.000     0.000     0.002     3.000
         *         *         *    48.520    43.630    39.610    45.308    -0.382    46.429    -0.719     0.000     0.000     0.000     0.110     0.889     0.000     5.000
